车次,车站,到时,发时
G13,阳澄湖,9,9
G13,昆山南,6,6
G13,花桥,3,3
G13,安亭北,0,0
G13,南翔北,116,116
G13,上海西,114,114
G13,上海,0,111
G15,南京,68,0
G15,仙林,62,62
G15,宝华山,58,58
G15,镇江,48,48
G15,丹徒,44,44
G15,丹阳,40,40
G15,常州,28,28
G15,戚墅堰,25,25
G15,惠山,21,21
G15,无锡,12,15
G15,无锡新区,5,5
G15,苏州新区,0,0
G15,苏州,107,115
G15,苏州园区,101,101
G15,阳澄湖,97,97
G15,昆山南,94,94
G15,花桥,91,91
G15,安亭北,88,88
G15,南翔北,84,84
G15,上海西,82,82
G15,上海,0,79
G17,南京,40,0
G17,仙林,34,34
G17,宝华山,30,30
G17,镇江,20,20
G17,丹徒,16,16
G17,丹阳,12,12
G17,常州,0,0
G17,戚墅堰,117,117
G17,惠山,113,113
G17,无锡,99,107
G17,无锡新区,92,92
G17,苏州新区,87,87
G17,苏州,77,82
G17,苏州园区,71,71
G17,阳澄湖,67,67
G17,昆山南,64,64
G17,花桥,61,61
G17,安亭北,58,58
G17,南翔北,54,54
G17,上海西,52,52
G17,上海,0,49
G19,南京,106,0
G19,仙林,100,100
G19,宝华山,96,96
G19,镇江,86,86
G19,丹徒,82,82
G19,丹阳,78,78
G19,常州,56,64
G19,戚墅堰,50,50
G19,惠山,46,46
G19,无锡,42,42
G19,无锡新区,38,38
G19,苏州新区,33,33
G19,苏州,25,28
G19,苏州园区,19,19
G19,阳澄湖,15,15
G19,昆山南,12,12
G19,花桥,9,9
G19,安亭北,6,6
G19,南翔北,2,2
G19,上海西,0,0
G19,上海,0,117
G21,南京,89,0
G21,仙林,83,83
G21,宝华山,79,79
G21,镇江,69,69
G21,丹徒,65,65
G21,丹阳,61,61
G21,常州,45,47
G21,戚墅堰,39,39
G21,惠山,35,35
G21,无锡,22,29
G21,无锡新区,15,15
G21,苏州新区,10,10
G21,苏州,7,7
G21,苏州园区,4,4
G21,阳澄湖,120,0
G21,昆山南,117,117
G21,花桥,114,114
G21,安亭北,111,111
G21,南翔北,107,107
G21,上海西,105,105
G21,上海,0,102
G23,南京,118,0
G23,仙林,112,112
G23,宝华山,108,108
G23,镇江,94,96
G23,丹徒,87,87
G23,丹阳,75,81
G23,常州,50,58
G23,戚墅堰,44,44
G23,惠山,32,38
G23,无锡,25,25
G23,无锡新区,12,19
G23,苏州新区,4,4
G23,苏州,117,119
G23,苏州园区,111,111
G23,阳澄湖,107,107
G23,昆山南,100,102
G23,花桥,94,94
G23,安亭北,91,91
G23,南翔北,87,87
G23,上海西,85,85
G23,上海,0,82
